E:\dataset_cnn\newcircular\2623_0_3371.png	0.984963069	0.923164482	3.752749128	0.609518222	0.780709114	0.321080168	0.180835066	3
E:\dataset_cnn\newcircular\2624_0_6139.png	0.981520118	0.940395452	3.356251267	0.683972752	0.82702116	0.186509905	0.130411076	3
E:\dataset_cnn\newcircular\2625_0_8244.png	0.984125979	0.928511019	3.665336964	0.635746107	0.797329577	0.308557335	0.169703877	3
E:\dataset_cnn\newcircular\2626_0_2338.png	0.981006461	0.940098377	3.290260344	0.679739838	0.824457669	0.211951216	0.135042674	3
E:\dataset_cnn\newcircular\2627_0_5157.png	0.985439073	0.921414818	3.768510397	0.577491161	0.759919357	0.312307099	0.182354655	3
E:\dataset_cnn\newcircular\2628_0_4193.png	0.982046291	0.939159802	3.386323518	0.657886813	0.811096259	0.190327578	0.133106773	3
E:\dataset_cnn\newcircular\2629_0_1506.png	0.984129662	0.929159851	3.652276938	0.651120657	0.806913913	0.31094498	0.169081869	3
E:\dataset_cnn\newcircular\262_0_4773.png	0.966066251	0.870889201	2.49499381	0.403259597	0.634999834	0.319324373	0.268390574	3
E:\dataset_cnn\newcircular\2630_0_7250.png	0.980725667	0.942841222	3.284614443	0.71951287	0.84823715	0.20531187	0.129409171	3
E:\dataset_cnn\newcircular\2631_0_9425.png	0.984527135	0.927117663	3.699271699	0.621814211	0.788543881	0.301788076	0.17108568	3
E:\dataset_cnn\newcircular\2632_0_5268.png	0.980596489	0.942662632	3.293471033	0.69853815	0.835780656	0.189635692	0.127153408	3
E:\dataset_cnn\newcircular\2633_0_8310.png	0.984467825	0.925263231	3.704848364	0.599475159	0.774248866	0.328347427	0.178095081	3
E:\dataset_cnn\newcircular\2634_0_6306.png	0.980217928	0.941945135	3.303653064	0.696541685	0.834586281	0.212073255	0.131910982	3
E:\dataset_cnn\newcircular\2635_0_2467.png	0.984264257	0.927882523	3.646520179	0.621162931	0.788131098	0.321339994	0.172839506	3
E:\dataset_cnn\newcircular\2636_0_3221.png	0.980046881	0.943813451	3.301499837	0.715296547	0.845747572	0.211459121	0.128665123	3
E:\dataset_cnn\newcircular\2637_0_5370.png	0.984728076	0.923577092	3.732301637	0.591902785	0.76934324	0.329599317	0.181340939	3
